15,Journey,2012,PlayStation 4,Shin Megami Tensei: Strange Journey Redux,1352,2017,https://www.igdb.com/games/shin-megami-tensei-strange-journey-redux
10,Monument Valley II,2017,iPhone,Monument Valley 2,36749,2017,https://www.igdb.com/games/monument-valley-2
542,Diablo,1996,PC,Diablo,125,2000,https://www.igdb.com/games/diablo-ii
401,Oxenfree,2016,PC,Oxenfree,14587,2016,https://www.igdb.com/games/oxenfree
595,Fire Emblem: Three Houses,,Nintendo Switch,Fire Emblem: Three Houses,26845,2019,https://www.igdb.com/games/fire-emblem-three-houses
245,Deus Ex: Mankind Divided,2016,PlayStation 4,Deus Ex: Mankind Divided,9498,2016,https://www.igdb.com/games/deus-ex-mankind-divided
537,Dungeon Keeper,1997,PC,Dungeon Keeper,35,1997,https://www.igdb.com/games/dungeon-keeper
118,NieR: Automata,2017,PlayStation 4,NieR: Automata,11208,2017,https://www.igdb.com/games/nier-automata
260,Hearts of Iron IV,2016,Mac,Hearts of Iron IV,15894,2016,https://www.igdb.com/games/hearts-of-iron-iv
454,SOMA,2015,PC,SOMA,9727,2015,https://www.igdb.com/games/soma--1
7,The Last of Us,2013,PlayStation 4,The Last of Us,1009,2013,https://www.igdb.com/games/the-last-of-us
127,inFamous: Second Son,2014,PlayStation 4,Infamous: Second Son,1941,2014,https://www.igdb.com/games/infamous-second-son
517,Evil Islands: Curse of the Lost Soul,2001,PC,Evil Islands: Curse of the Lost Soul,13156,2000,https://www.igdb.com/games/evil-islands-curse-of-the-lost-soul
244,Wolfenstein: The New Order,2014,PlayStation 4,Wolfenstein: The New Order,2031,2014,https://www.igdb.com/games/wolfenstein-the-new-order
497,Medal of Honor: Allied Assault,2002,PC,Medal of Honor: Allied Assault,326,2002,https://www.igdb.com/games/medal-of-honor-allied-assault
539,Dark Colony,1997,PC,Dark Colony,51199,1997,https://www.igdb.com/games/dark-colony
472,Fallout 3,2008,PC,Fallout 3,15,2008,https://www.igdb.com/games/fallout-3
460,Unreal Tournament,1999,PC,Unreal Tournament,15263,2016,https://www.igdb.com/games/unreal-tournament--1
392,Red Dead Redemption 2,2018,PlayStation 4,Red Dead Redemption 2,25076,2018,https://www.igdb.com/games/red-dead-redemption-2
534,Doom,1993,PC,Doom,673,2004,https://www.igdb.com/games/doom-3
491,Doom 3,2004,PC,Doom 3,280,2004,https://www.igdb.com/games/doom-3
486,Football Manager 2008,2008,PC,Football Manager 2008,946,2007,https://www.igdb.com/games/football-manager-2008
368,The Witness,2016,PlayStation 4,The Witness,5601,2016,https://www.igdb.com/games/the-witness
512,Need for Speed III: Hot Pursuit,1998,PC,Need for Speed III: Hot Pursuit,92,1998,https://www.igdb.com/games/need-for-speed-iii-hot-pursuit
530,Pharaoh,1999,PC,Pharaoh,7510,1999,https://www.igdb.com/games/pharaoh
499,Dungeon Siege,2002,PC,Dungeon Siege III,329,2011,https://www.igdb.com/games/dungeon-siege-iii
243,Hellblade: Senua's Sacrifice,2017,PlayStation 4,Hellblade: Senua's Sacrifice,7603,2017,https://www.igdb.com/games/hellblade-senuas-sacrifice
461,Excitebike,,Nintendo Entertainment System,Excitebike,4600,2009,https://www.igdb.com/games/excitebike-world-rally
11,Horizon Zero Dawn,2017,PlayStation 4,Horizon Zero Dawn,11156,2017,https://www.igdb.com/games/horizon-zero-dawn
310,Ori and the Blind Forest,2015,PC,Ori and the Blind Forest,7344,2016,https://www.igdb.com/games/ori-and-the-blind-forest-definitive-edition
66,Papers Please,2013,Mac,Papers Please,2935,2013,https://www.igdb.com/games/papers-please
64,XCOM: Enemy Unknown,2012,PC,XCOM: Enemy Unknown,1318,2012,https://www.igdb.com/games/xcom-enemy-unknown
332,Surviving Mars,2018,Mac,Surviving Mars,28574,2018,https://www.igdb.com/games/surviving-mars
41,Final Fantasy XIII,2010,Xbox 360,Final Fantasy XIII,389,2009,https://www.igdb.com/games/final-fantasy-xiii
36,Grand Theft Auto V,2013,Xbox 360,Grand Theft Auto V,1020,2013,https://www.igdb.com/games/grand-theft-auto-v
40,DiRT 3,2011,Xbox 360,Dirt 3,524,2011,https://www.igdb.com/games/dirt-3
33,Monument Valley,2014,iPhone,Monument Valley,8900,2014,https://www.igdb.com/games/monument-valley-2
580,Observation,2019,PlayStation 4,Observation,110807,2019,https://www.igdb.com/games/observation
278,Chrono Trigger,1995,PC,Chrono Trigger,1802,1995,https://www.igdb.com/games/chrono-trigger
404,The Legend of Zelda: Breath of the Wild,2017,Nintendo Switch,The Legend of Zelda: Breath of the Wild,7346,2017,https://www.igdb.com/games/the-legend-of-zelda-breath-of-the-wild
38,Mass Effect,2007,Xbox 360,Mass Effect,73,2007,https://www.igdb.com/games/mass-effect
569,Battlefield 1,2016,PlayStation 4,Battlefield 1,18320,2016,https://www.igdb.com/games/battlefield-1
377,Might & Magic Heroes VI,2011,PC,Might & Magic: Heroes VI,373,2011,https://www.igdb.com/games/might-magic-heroes-vi
32,BioShock Infinite,2013,PC,Bioshock Infinite,538,2013,https://www.igdb.com/games/bioshock-infinite
339,God of War,2018,PlayStation 4,God of War,19560,2018,https://www.igdb.com/games/god-wars-the-complete-legend
501,The Elder Scrolls III: Morrowind,2002,PC,The Elder Scrolls III: Morrowind,56,2002,https://www.igdb.com/games/the-elder-scrolls-iii-morrowind
394,Little Nightmares,2017,Nintendo Switch,Little Nightmares,9174,2017,https://www.igdb.com/games/little-nightmares-ii
331,Amnesia: The Dark Descent,2010,PC,Amnesia: The Dark Descent,111,2010,https://www.igdb.com/games/amnesia-the-dark-descent
109,Crusader Kings II,2012,Mac,Crusader Kings II,2918,2012,https://www.igdb.com/games/crusader-kings-ii
330,Amnesia: A Machine for Pigs,2013,PC,Amnesia: A Machine for Pigs,1882,2013,https://www.igdb.com/games/amnesia-a-machine-for-pigs
4,Final Fantasy V,1992,Android,Final Fantasy V,419,1992,https://www.igdb.com/games/final-fantasy-v
42,Final Fantasy XIII-2,2011,Xbox 360,Final Fantasy XIII-2,384,2011,https://www.igdb.com/games/final-fantasy-xiii-2
65,Bastion,2011,iPhone,Bastion,1983,2011,https://www.igdb.com/games/bastion
469,Total War: Shogun 2,2011,PC,Total War: Shogun 2,432,2011,https://www.igdb.com/games/total-war-shogun-2
